epoch,loss
0,83.32315063476562
10,83.2332763671875
20,83.14089965820312
30,83.04619598388672
40,82.94825744628906
50,82.84616088867188
60,82.7388916015625
70,82.62539672851562
80,82.50448608398438
90,82.37487030029297
100,82.23511505126953
110,82.08366394042969
120,81.91875457763672
130,81.73844909667969
140,81.54063415527344
150,81.32295989990234
160,81.08289337158203
170,80.81773376464844
180,80.52462768554688
190,80.20068359375
200,79.84310913085938
210,79.44942474365234
220,79.0177001953125
230,78.5469970703125
240,78.03778076171875
250,77.49249267578125
260,76.9158935546875
270,76.31529998779297
280,75.70022583007812
290,75.08140563964844
300,74.46903991699219
310,73.87060546875
320,73.28901672363281
330,72.72173309326172
340,72.16140747070312
350,71.59767150878906
360,71.01937866210938
370,70.41651916503906
380,69.7816390991211
390,69.11070251464844
400,68.4030990600586
410,67.66075134277344
420,66.88643646240234
430,66.08203125
440,65.24765014648438
450,64.38163757324219
460,63.481048583984375
470,62.5422248840332
480,61.56159591674805
490,60.536720275878906
500,59.46760940551758
510,58.357749938964844
520,57.21453094482422
530,56.048744201660156
540,54.873504638671875
550,53.703025817871094
560,52.55185317993164
570,51.43456268310547
580,50.365638732910156
590,49.35924530029297
600,48.42843246459961
610,47.583984375
620,46.83289337158203
630,46.17720031738281
640,45.61344909667969
650,45.1331787109375
660,44.72428512573242
670,44.37286376953125
680,44.06504821777344
690,43.788291931152344
700,43.531982421875
710,43.2874641418457
720,43.04784393310547
730,42.80779266357422
740,42.56341552734375
750,42.31224822998047
760,42.05322265625
770,41.78658676147461
780,41.513710021972656
790,41.2368278503418
800,40.958675384521484
810,40.682090759277344
820,40.40966796875
830,40.143470764160156
840,39.884925842285156
850,39.63481903076172
860,39.39336013793945
870,39.160308837890625
880,38.93513488769531
890,38.71709060668945
900,38.5053596496582
910,38.29909133911133
920,38.09748840332031
930,37.89982604980469
940,37.705482482910156
950,37.51395034790039
960,37.32482147216797
970,37.137813568115234
980,36.95271682739258
990,36.76941680908203
1000,36.587867736816406
1010,36.40807342529297
1020,36.230072021484375
1030,36.053924560546875
1040,35.87969207763672
1050,35.70741271972656
1060,35.53710174560547
1070,35.36871337890625
1080,35.20216369628906
1090,35.03727722167969
1100,34.873809814453125
1110,34.7114372253418
1120,34.54975891113281
1130,34.38829803466797
